group1,group2,meandiff,p-adj,lower,upper,reject
470,4068,9580.143,0.9999,-20478.1073,39638.3933,False
470,4360,24345.1889,0.3668,-6690.0975,55380.4752,False
470,7100,8218.325,1.0,-22471.5908,38908.2408,False
470,7405,8055.1895,1.0,-22309.6434,38420.0224,False
470,7750,8982.4061,1.0,-27271.0088,45235.821,False
470,7784,22209.8205,0.23,-4031.603,48451.2439,False
470,8000,20738.4967,0.3434,-5382.2254,46859.2189,False
1022,1724,-2500.7715,1.0,-43144.7989,38143.2559,False
1022,1863,6380.7193,1.0,-30680.875,43442.3137,False
1022,2000,-5338.7146,1.0,-37594.5679,26917.1387,False
1022,2196,26342.6496,0.6563,-12527.8785,65213.1777,False
1022,4001,18640.1835,0.9923,-23940.3466,61220.7136,False
1022,4068,-2008.1522,1.0,-41308.2019,37291.8976,False
1022,4360,12756.8937,0.9999,-27295.3783,52809.1657,False
1022,7100,-3369.9701,1.0,-43155.224,36415.2838,False
1022,7405,-3533.1057,1.0,-43068.1354,36001.924,False
1022,7750,-2605.889,1.0,-46824.7265,41612.9484,False
1022,7784,10621.5253,1.0,-25842.2622,47085.3128,False
1022,8000,9150.2016,1.0,-27226.8189,45527.2221,False
1724,1863,8881.4908,1.0,-22913.8149,40676.7966,False
1724,2000,-2837.9431,1.0,-28872.915,23197.0288,False
1724,2196,28843.4211,0.221,-5043.1196,62729.9619,False
1724,4001,21140.955,0.9136,-16944.2289,59226.1389,False
1724,4068,492.6194,1.0,-33885.7692,34871.0079,False
1724,4360,15257.6653,0.9932,-19978.1714,50493.5019,False
1724,7100,-869.1986,1.0,-35801.22,34062.8228,False
1724,7405,-1032.3342,1.0,-35679.0983,33614.43,False
1724,7750,-105.1175,1.0,-40013.5787,39803.3437,False
1724,7784,13122.2969,0.9951,-17974.1256,44218.7193,False
1724,8000,11650.9731,0.9989,-19343.6604,42645.6067,False
1863,2000,-11719.434,0.8655,-31705.5436,8266.6756,False
1863,2196,19961.9303,0.6587,-9532.5176,49456.3782,False
1863,4001,12259.4642,0.9994,-21976.5702,46495.4985,False
1863,4068,-8388.8715,1.0,-38447.1218,21669.3788,False
1863,4360,6376.1744,1.0,-24659.1119,37411.4607,False
1863,7100,-9750.6894,0.9999,-40440.6052,20939.2264,False
1863,7405,-9913.825,0.9998,-40278.6579,20451.0079,False
1863,7750,-8986.6083,1.0,-45240.0232,27266.8066,False
1863,7784,4240.806,1.0,-22000.6174,30482.2294,False
1863,8000,2769.4823,1.0,-23351.2398,28890.2044,False
2000,2196,31681.3642,0.0002,8512.4032,54850.3252,True
2000,4001,23978.8981,0.267,-4986.3284,52944.1246,False
2000,4068,3330.5625,1.0,-20551.9983,27213.1233,False
2000,4360,18095.6084,0.5368,-7005.5329,43196.7497,False
2000,7100,1968.7445,1.0,-22704.0994,26641.5885,False
2000,7405,1805.609,1.0,-22461.6812,26072.8992,False
2000,7750,2732.8256,1.0,-28591.1011,34056.7524,False
2000,7784,15960.24,0.2298,-2894.2184,34814.6983,False
2000,8000,14488.9162,0.3896,-4197.1861,33175.0186,False
2196,4001,-7702.4661,1.0,-43888.9584,28484.0262,False
2196,4068,-28350.8017,0.1739,-60613.0799,3911.4764,False
2196,4360,-13585.7559,0.9966,-46760.2216,19588.7099,False
2196,7100,-29712.6197,0.137,-62564.2119,3138.9725,False
2196,7405,-29875.7553,0.1202,-62423.862,2672.3515,False
2196,7750,-28948.5386,0.4303,-67049.277,9152.1998,False
2196,7784,-15721.1243,0.9238,-44460.7916,13018.5431,False
2196,8000,-17192.448,0.8394,-45821.9485,11437.0526,False
4001,4068,-20648.3356,0.9021,-57295.821,15999.1497,False
4001,4360,-5883.2897,1.0,-43336.3105,31569.731,False
4001,7100,-22010.1536,0.8551,-59177.4874,15157.1802,False
4001,7405,-22173.2892,0.8386,-59072.6502,14726.0719,False
4001,7750,-21246.0725,0.9621,-63125.0632,20632.9182,False
4001,7784,-8018.6581,1.0,-41606.6332,25569.317,False
4001,8000,-9489.9819,1.0,-42983.7409,24003.7771,False
4068,4360,14765.0459,0.9922,-18911.6691,48441.7608,False
4068,7100,-1361.818,1.0,-34720.5209,31996.885,False
4068,7405,-1524.9535,1.0,-34584.8266,31534.9196,False
4068,7750,-597.7369,1.0,-39136.5773,37941.1036,False
4068,7784,12629.6775,0.9937,-16688.3108,41947.6658,False
4068,8000,11158.3538,0.9986,-18051.6489,40368.3564,False
